,Inverse Document Frequency
a,-0.15415067982725836
abborrar,-0.15415067982725836
abborrarna,-0.15415067982725836
abborre,-0.15415067982725836
abborren,-0.15415067982725836
abborrens,-0.15415067982725836
abborrn,-0.15415067982725836
abcbok,-0.15415067982725836
abcdarierna,-0.15415067982725836
abessinien,-0.15415067982725836
abessinierna,-0.15415067982725836
abessiniska,-0.15415067982725836
abraham,-0.15415067982725836
abrahams,-0.15415067982725836
absalon,-0.15415067982725836
absolut,-0.15415067982725836
abstinens,-0.15415067982725836
abu,-0.15415067982725836
ach,-0.15415067982725836
achmed,-0.15415067982725836
ack,-0.15415067982725836
ackja,-0.15415067982725836
ackompanjemanget,-0.15415067982725836
ackompanjera,-0.15415067982725836
ackord,-0.15415067982725836
acquilon,-0.15415067982725836
acquilons,-0.15415067982725836
adam,-0.15415067982725836
ade,-0.15415067982725836
adeline,-0.15415067982725836
adelsbrev,-0.15415067982725836
adelsfröknarna,-0.15415067982725836
adelsgård,-0.15415067982725836
adelskapets,-0.15415067982725836
adelsman,-0.15415067982725836
adelsmän,-0.15415067982725836
aderton,-0.15415067982725836
adertonde,-0.15415067982725836
adertonhundrafyra,-0.15415067982725836
adertonhundratalet,-0.15415067982725836
adertonhundratjugotalet,-0.15415067982725836
adertonhundratjugutalet,-0.15415067982725836
adertonhundratolv,-0.15415067982725836
adertonhundratre,-0.15415067982725836
adertonhundratrettiotalet,-0.15415067982725836
adertonhundraåtta,-0.15415067982725836
adertonåriga,-0.15415067982725836
adertonåringen,-0.15415067982725836
adjutant,-0.15415067982725836
adjö,-0.15415067982725836
adolf,-0.15415067982725836
adoptera,-0.15415067982725836
adopterade,-0.15415067982725836
adress,-0.15415067982725836
adresser,-0.15415067982725836
adresserat,-0.15415067982725836
adrian,-0.15415067982725836
adua,-0.15415067982725836
aduas,-0.15415067982725836
adventsöndagen,-0.15415067982725836
advokat,-0.15415067982725836
af,-0.15415067982725836
aff,-0.15415067982725836
affär,-0.15415067982725836
affären,-0.15415067982725836
affärer,-0.15415067982725836
afrika,-0.15415067982725836
afrikanska,-0.15415067982725836
afrikanskan,-0.15415067982725836
afta,-0.15415067982725836
afton,-0.15415067982725836
aftonbön,-0.15415067982725836
aftonbönen,-0.15415067982725836
aftondagern,-0.15415067982725836
aftonen,-0.15415067982725836
aftonens,-0.15415067982725836
aftonglansen,-0.15415067982725836
aftonglöden,-0.15415067982725836
aftongudstjänst,-0.15415067982725836
aftonhimlen,-0.15415067982725836
aftonhimmel,-0.15415067982725836
aftonljus,-0.15415067982725836
aftonljuset,-0.15415067982725836
aftonmåltiden,-0.15415067982725836
aftonrodnaden,-0.15415067982725836
aftonrodnadens,-0.15415067982725836
aftonsky,-0.15415067982725836
aftonsolen,-0.15415067982725836
aftonsolens,-0.15415067982725836
aftonstund,-0.15415067982725836
aftonstunden,-0.15415067982725836
aftonstunds,-0.15415067982725836
aftonvard,-0.15415067982725836
aftonvarden,-0.15415067982725836
aftonvardsrasten,-0.15415067982725836
aftonvardssmörgås,-0.15415067982725836
aftonvardsvila,-0.15415067982725836
afzelii,-0.15415067982725836
afzelius,-0.15415067982725836
ag,-0.15415067982725836
agar,-0.15415067982725836
agathe,-0.15415067982725836
agerat,-0.15415067982725836
agg,-0.15415067982725836
agiterade,-0.15415067982725836
agn,-0.15415067982725836
agnar,-0.15415067982725836
agrippa,-0.15415067982725836
agust,-0.15415067982725836
agön,-0.15415067982725836
ah,-0.15415067982725836
ahlgrens,-0.15415067982725836
ailt,-0.15415067982725836
air,-0.15415067982725836
aj,-0.15415067982725836
ajö,-0.15415067982725836
akademien,-0.15415067982725836
akademiska,-0.15415067982725836
akka,-0.15415067982725836
akkas,-0.15415067982725836
aklejor,-0.15415067982725836
akrobaten,-0.15415067982725836
akrobaterna,-0.15415067982725836
akruvar,-0.15415067982725836
aksa,-0.15415067982725836
aksamoskén,-0.15415067982725836
akt,-0.15415067982725836
akta,-0.15415067982725836
aktad,-0.15415067982725836
aktade,-0.15415067982725836
aktande,-0.15415067982725836
aktar,-0.15415067982725836
aktat,-0.15415067982725836
akten,-0.15415067982725836
akter,-0.15415067982725836
akterdäck,-0.15415067982725836
aktern,-0.15415067982725836
aktertoften,-0.15415067982725836
aktier,-0.15415067982725836
aktierna,-0.15415067982725836
aktning,-0.15415067982725836
al,-0.15415067982725836
alar,-0.15415067982725836
